date,time,platform,caption,image_url,card_url
2026-07-05,18:00,Instagram,"UFC 329: our model reads MCGREGOR 69% over HOLLOWAY — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCGREGOR #HOLLOWAY",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-06,12:00,TikTok,"UFC 329: our model reads MCGREGOR 69% over HOLLOWAY — but the matchup has a wrinkle worth seeing.

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCGREGOR #HOLLOWAY",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/sensor-main__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-06,18:00,Instagram,"Cardio check, UFC 329: several model favorites our data quietly flags as late-faders. Who still holds up in round 3?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/cardio-flagged__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-07,12:00,TikTok,"Cardio check, UFC 329: several model favorites our data quietly flags as late-faders. Who still holds up in round 3?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/cardio-flagged__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-07,18:00,Instagram,"Coin-Flip Corner 🪙 GARBRANDT vs YANEZ — our model has it just 55%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #GARBRANDT #YANEZ",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-08,12:00,TikTok,"Coin-Flip Corner 🪙 GARBRANDT vs YANEZ — our model has it just 55%. A coin flip in a lab coat.

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #GARBRANDT #YANEZ",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/coinflip-lead__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-08,18:00,Instagram,"MCKINNEY 54% over GREEN, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCKINNEY #GREEN",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-09,12:00,TikTok,"MCKINNEY 54% over GREEN, and they finish at an elite clip. Should ""rarely needs the judges"" weigh heavier?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCKINNEY #GREEN",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/whatif-finisher__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-09,18:00,Instagram,"UFC 329 main event — our model: MCGREGOR 69%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCGREGOR #HOLLOWAY",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
2026-07-10,12:00,TikTok,"UFC 329 main event — our model: MCGREGOR 69%. Where does this one actually get decided?

Full card breakdown — link in bio 🔗

#UFC329 #MMA #UFC #MMATwitter #FightIQ #MMAanalytics #MCGREGOR #HOLLOWAY",https://cannonfightlab.com/social/ufc-329-mcgregor-vs-holloway-2-117/img/poll-main__square.png,https://cannonfightlab.com/card/ufc-329-mcgregor-vs-holloway-2-117.html
